,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dubai,25.2582,55.3047,95.29,12,0,4.61,AE,1648189073
1,puerto ayora,-0.7393,-90.3518,77.86,82,85,6.22,EC,1648189257
2,saint-philippe,-21.3585,55.7679,85.59,75,17,8.01,RE,1648189258
3,tuktoyaktuk,69.4541,-133.0374,-14.82,94,5,11.59,CA,1648189258
4,chern,53.4523,36.9145,33.04,96,100,3.74,RU,1648189259
5,alexandroupoli,40.8475,25.8744,40.82,81,0,3.44,GR,1648189260
6,kapaa,22.0752,-159.319,75.18,88,100,20.71,US,1648188996
7,karratha,-20.7377,116.8463,92.39,46,59,12.15,AU,1648189261
8,la ronge,55.1001,-105.2842,14.25,62,100,17.27,CA,1648189262
9,cape town,-33.9258,18.4232,67.12,68,20,20.71,ZA,1648189202
10,provideniya,64.3833,-173.3,5.49,93,83,7.58,RU,1648189264
11,cherskiy,68.75,161.3,12.31,95,100,12.55,RU,1648189265
12,praia,14.9215,-23.5087,66.74,72,40,16.11,CV,1648189265
13,hermanus,-34.4187,19.2345,58.8,69,100,16.04,ZA,1648189266
14,yellowknife,62.456,-114.3525,-12.48,64,0,8.05,CA,1648189200
15,upernavik,72.7868,-56.1549,8.69,76,100,4.94,GL,1648189267
16,ambilobe,-13.2,49.05,81.7,80,100,1.59,MG,1648189268
17,paamiut,61.994,-49.6678,12.7,66,1,7.38,GL,1648189269
18,ushuaia,-54.8,-68.3,51.46,50,40,10.36,AR,1648188982
19,nikolskoye,59.7035,30.7861,39.87,99,100,4.52,RU,1648189271
20,hilo,19.7297,-155.09,74.93,78,40,8.05,US,1648189271
21,paita,-5.0892,-81.1144,72.9,71,94,9.84,PE,1648189273
22,bluff,-46.6,168.3333,60.8,79,12,9.64,NZ,1648189273
23,jerome,42.7241,-114.5186,52.63,62,0,3.44,US,1648189274
24,brandon,27.9378,-82.2859,64.72,86,100,4.0,US,1648189275
25,rikitea,-23.1203,-134.9692,79.59,72,71,16.84,PF,1648189276
26,torbay,47.6666,-52.7314,27.27,81,40,21.85,CA,1648189277
27,tasiilaq,65.6145,-37.6368,19.56,67,100,7.96,GL,1648189278
28,port elizabeth,-33.918,25.5701,63.1,97,75,3.44,ZA,1648189279
29,aklavik,68.2191,-135.0107,-8.07,97,42,11.68,CA,1648189279
30,vaini,-21.2,-175.2,78.96,83,40,6.91,TO,1648189280
31,bredasdorp,-34.5322,20.0403,63.54,63,100,11.99,ZA,1648189281
32,pisco,-13.7,-76.2167,65.01,100,0,10.36,PE,1648189282
33,lerik,38.7726,48.4128,38.84,70,46,2.84,AZ,1648189283
34,umm kaddadah,13.6017,26.6876,65.53,16,98,22.82,SD,1648189283
35,carnarvon,-24.8667,113.6333,91.47,58,79,19.57,AU,1648189284
36,mataura,-46.1927,168.8643,61.05,72,18,4.32,NZ,1648189285
37,punta arenas,-53.15,-70.9167,51.91,50,0,17.27,CL,1648189286
38,ponta do sol,32.6667,-17.1,62.01,73,54,5.75,PT,1648189286
39,senador jose porfirio,-2.5908,-51.9542,72.23,98,72,2.89,BR,1648189287
40,ancud,-41.8697,-73.8203,52.23,91,43,5.35,CL,1648189288
41,albany,42.6001,-73.9662,41.18,93,100,2.86,US,1648189191
42,avarua,-21.2078,-159.775,75.25,94,75,4.61,CK,1648189289
43,arona,28.0996,-16.681,54.12,61,40,5.75,ES,1648189290
44,guatire,10.4762,-66.5427,76.21,97,72,2.19,VE,1648189291
45,kabo,7.6994,18.629,78.75,61,96,2.93,CF,1648189292
46,nantucket,41.2835,-70.0995,54.14,98,100,16.11,US,1648189033
47,busselton,-33.65,115.3333,84.96,28,78,4.97,AU,1648189293
48,champerico,14.3,-91.9167,81.3,74,84,1.34,GT,1648189294
49,verkhnyaya inta,65.9811,60.3094,12.54,92,100,13.29,RU,1648189295
50,chateau-gontier,47.8333,-0.7,42.96,89,0,8.95,FR,1648189013
51,hobart,-42.8794,147.3294,72.05,49,20,10.36,AU,1648189192
52,saldanha,-33.0117,17.9442,60.85,82,0,14.61,ZA,1648189296
53,dikson,73.5069,80.5464,12.7,88,92,17.16,RU,1648189297
54,bafoulabe,13.8065,-10.8321,82.63,15,9,5.91,ML,1648189298
55,barrow,71.2906,-156.7887,-2.18,71,0,14.97,US,1648189299
56,bengkulu,-3.8004,102.2655,85.5,62,98,8.72,ID,1648189300
57,aksu,41.1231,80.2644,45.77,58,100,2.62,CN,1648189301
58,airai,-8.9266,125.4092,70.83,75,46,1.92,TL,1648189302
59,nuuk,64.1835,-51.7216,18.21,67,20,1.14,GL,1648189302
60,tahe,52.3333,124.7333,33.75,49,100,6.2,CN,1648189303
61,gat,31.61,34.7642,49.41,100,86,15.41,IL,1648189304
62,kashi,39.4547,75.9797,51.01,37,75,6.71,CN,1648189305
63,coquimbo,-29.9533,-71.3436,62.38,77,0,2.93,CL,1648189305
64,spasskoye,44.6108,132.7969,43.63,85,92,13.85,RU,1648189306
65,jamestown,42.097,-79.2353,39.72,65,0,4.61,US,1648188821
66,aykhal,66.0,111.5,18.18,62,99,6.46,RU,1648189308
67,trat,12.5,102.5,92.91,48,35,10.71,TH,1648189309
68,waingapu,-9.6567,120.2641,85.69,71,31,3.58,ID,1648189310
69,goya,-29.14,-59.2626,54.27,66,0,6.93,AR,1648189310
70,naklo nad notecia,53.1421,17.6018,36.45,63,0,4.92,PL,1648189311
71,bonthe,7.5264,-12.505,75.94,92,5,2.73,SL,1648189312
72,danshui,22.7984,114.4672,69.55,96,100,3.83,CN,1648189313
73,karpogory,64.0019,44.4451,21.16,75,29,4.68,RU,1648189314
74,saskylakh,71.9167,114.0833,2.14,91,100,4.34,RU,1648189315
75,la paz centro,12.34,-86.6753,80.26,59,43,9.78,NI,1648189316
76,picton,-34.1833,150.6,69.89,87,97,6.53,AU,1648189317
77,geraldton,-28.7667,114.6,90.01,37,100,12.66,AU,1648189318
78,grand gaube,-20.0064,57.6608,86.38,71,23,8.99,MU,1648189318
79,katobu,-4.9408,122.5276,87.1,62,76,6.22,ID,1648189319
80,blagoyevo,63.3667,47.9167,19.02,81,17,7.92,RU,1648189320
81,suratgarh,29.3167,73.9,94.66,9,0,4.23,IN,1648189321
82,castro,-24.7911,-50.0119,64.22,96,100,4.76,BR,1648189321
83,portland,45.5234,-122.6762,54.25,82,20,6.91,US,1648188712
84,hohhot,40.8106,111.6522,52.09,11,0,15.66,CN,1648189104
85,silistra,44.1167,27.2667,45.91,9,92,7.74,BG,1648189323
86,vila franca do campo,37.7167,-25.4333,59.41,83,99,17.63,PT,1648189324
87,bethel,41.3712,-73.414,43.16,93,100,4.0,US,1648189123
